date	brand	cnt
1107	7	232
1107	8	583
1107	9	466
1107	10	288
1108	1	490
1108	2	318
1108	3	285
1108	4	380
1108	5	470
1108	6	378
1108	7	421
1108	8	581
1108	9	804
1108	10	337
1109	1	170
1109	2	289
1109	3	249
1109	4	119
1109	5	147
1109	6	84
1109	7	105
1109	8	173
1109	9	184
1109	10	56
1110	9	15
1111	1	626
1111	2	232
1111	3	228
1111	4	494
1111	5	382
1111	6	441
1111	7	421
1111	8	746
1111	9	710
1111	10	337
1112	1	374
1112	2	507
1112	3	285
1112	4	618
1112	5	330
1112	6	343
1112	7	211
1112	8	518
1112	9	586
1112	10	421
1113	1	286
1113	2	203
1113	3	499
1113	4	466
1113	5	377
1113	6	242
1113	7	426
1113	8	419
1113	9	672
1113	10	341
1114	1	449
1114	2	478
1114	3	235
1114	4	296
1114	5	242
1114	6	280
1114	7	438
1114	8	355
1114	9	614
1114	10	391
1115	1	327
1115	2	145
1115	3	285
1115	4	266
1115	5	206
1115	6	228
1115	7	168
1115	8	304
1115	9	549
1115	10	202
1116	1	102
1116	2	72
1116	3	143
1116	4	95
1116	5	257
1116	6	58
1116	7	70
1116	8	35
1116	9	184
1116	10	56
1117	1	245
1117	2	289
1117	3	314
1117	4	437
1117	5	529
1117	6	347
1117	7	337
1117	8	553
1117	9	603
1117	10	337
1118	1	442
1118	2	181
1118	3	285
1118	4	475
1118	5	514
1118	6	259
1118	7	246
1118	8	242
1118	9	753
1118	10	140
1119	1	381
1119	2	439
1119	3	200
1119	4	621
1119	5	343
1119	6	254
1119	7	328
1119	8	387
1119	9	656
1119	10	367
1120	1	374
1120	2	186
1120	3	261
1120	4	244
1120	5	242
1120	6	166
1120	7	206
1120	8	253
1120	9	319
1120	10	144
1121	1	272
1121	2	87
1121	3	143
1121	4	171
1121	5	294
1121	6	233
1121	7	337
1121	8	166
1121	9	402
1121	10	157
1122	1	136
1122	2	72
1122	3	143
1122	4	143
1122	5	110
1122	6	65
1122	7	70
1122	8	69
1122	9	117
1122	10	56
1123	1	327
1123	2	116
1123	3	200
1123	4	437
1123	5	235
1123	6	285
1123	7	365
1123	8	387
1123	9	496
1123	10	494
1124	1	340
1124	2	253
1124	3	249
1124	4	618
1124	5	441
1124	6	305
1124	7	597
1124	8	518
1124	9	820
1124	10	309
1125	1	349
1125	2	135
1125	3	233
1125	4	333
1125	5	446
1125	6	357
1125	7	557
1125	8	452
1125	9	828
1125	10	262
1126	1	274
1126	2	186
1126	3	235
1126	4	296
1126	5	162
1126	6	209
1126	7	206
1126	8	177
1126	9	577
1126	10	185
1127	1	218
1127	2	203
1127	3	285
1127	4	285
1127	5	235
1127	6	207
1127	7	309
1127	8	332
1127	9	723
1127	10	270
1128	1	34
1128	2	36
1128	3	285
1128	4	119
1128	5	37
1128	6	65
1128	7	105
1128	8	207
1128	9	268
1129	1	408
1129	2	232
1129	3	342
1129	4	494
1129	5	588
1129	6	290
1129	7	365
1129	8	525
1129	9	589
1129	10	314
1130	1	306
1130	2	217
1130	3	392
1130	4	356
1130	5	514
1130	6	168
1130	7	421
1130	8	622
1130	9	787
1130	10	281
1131	1	413
1131	2	203
1131	3	100
1131	4	466
1131	5	514
1131	6	339
1131	7	197
1131	8	516
1131	9	625
1131	10	262
1132	1	299
1132	2	186
1132	3	209
1132	4	418
1132	5	323
1132	6	247
1132	7	257
1132	8	355
1132	9	319
1132	10	185
1133	1	163
1133	2	260
1133	3	200
1133	4	266
1133	5	206
1133	6	244
1133	7	253
1133	8	442
1133	9	696
1133	10	292
1134	1	34
1134	2	72
1134	3	214
1134	4	166
1134	5	147
1134	6	58
1134	7	105
1134	8	35
1134	9	151
1134	10	28
1135	1	354
1135	2	405
1135	3	285
1135	4	418
1135	5	617
1135	6	378
1135	7	253
1135	8	442
1135	9	790
1135	10	337
1136	1	374
1136	2	326
1136	3	249
1136	4	451
1136	5	661
1136	6	292
1136	7	246
1136	8	484
1136	9	519
1136	10	337
1137	1	286
1137	2	236
1137	3	200
1137	4	488
1137	5	377
1137	6	417
1137	7	426
1137	8	290
1137	9	984
1137	10	314
1138	3	26
1138	4	35
1138	9	49
1139	9	13
1140	1	118
1140	2	376
1140	3	402
1140	4	597
1140	5	382
1140	6	354
1140	7	395
1140	8	509
1140	9	769
1140	10	292
1141	1	191
1141	2	260
1141	3	143
1141	4	494
1141	5	558
1141	6	187
1141	7	253
1141	8	359
1141	9	790
1141	10	247
1142	1	306
1142	2	109
1142	3	285
1142	4	380
1142	5	257
1142	6	343
1142	7	281
1142	8	346
1142	9	703
1142	10	309
1143	1	318
1143	2	236
1143	3	133
1143	4	421
1143	5	103
1143	6	333
1143	7	590
1143	8	452
1143	9	781
1143	10	157
1144	1	449
1144	2	239
1144	3	157
1144	4	227
1144	5	512
1144	6	238
1144	7	206
1144	8	228
1144	9	528
1144	10	124
1145	1	272
1145	2	232
1145	3	285
1145	4	342
1145	5	264
1145	6	171
1145	7	197
1145	8	166
1145	9	603
1145	10	247
1146	1	34
1146	2	72
1146	3	178
1146	4	71
1146	5	73
1146	6	65
1146	7	105
1146	8	138
1146	9	184
1147	9	15
1148	1	517
1148	2	318
1148	3	285
1148	4	380
1148	5	470
1148	6	197
1148	7	393
1148	8	249
1148	9	911
1148	10	314
1149	1	374
1149	2	289
1149	3	285
1149	4	475
1149	5	294
1149	6	168
1149	7	211
1149	8	276
1149	9	1038
1149	10	168
1150	1	349
1150	2	270
1150	3	299
1150	4	466
1150	5	206
1150	6	429
1150	7	328
1150	8	419
1150	9	906
1150	10	157
1151	1	200
1151	2	106
1151	3	26
1151	4	261
1151	5	188
1151	6	176
1151	7	232
1151	8	253
1151	9	626
1151	10	144
1152	1	82
1152	2	174
1152	3	143
1152	4	228
1152	5	176
1152	6	213
1152	7	421
1152	8	304
1152	9	911
1152	10	494
1153	1	102
1153	2	72
1153	3	107
1153	4	119
1153	5	37
1153	6	58
1153	7	105
1153	8	138
1153	9	234
1153	10	28
1154	3	31
1154	7	30
1154	9	15
1155	1	463
1155	2	174
1155	3	342
1155	4	532
1155	5	499
1155	6	347
1155	7	225
1155	8	359
1155	9	1366
1155	10	270
1156	1	408
1156	2	289
1156	3	356
1156	4	356
1156	5	441
1156	6	285
1156	7	316
1156	8	449
1156	9	1624
1156	10	337
1157	1	254
1157	2	203
1157	3	200
1157	4	421
1157	5	548
1157	6	321
1157	7	360
1157	8	419
1157	9	1734
1157	10	288
1158	1	200
1158	2	212
1158	3	314
1158	4	314
1158	5	269
1158	6	228
1158	7	154
1158	8	811
1158	9	1129
1158	10	165
1159	1	191
1159	2	174
1159	3	171
1159	4	190
1159	5	147
1159	6	161
1159	7	225
1159	8	332
1159	9	482
1159	10	225
1160	1	136
1160	2	36
1160	3	178
1160	4	71
1160	5	220
1160	6	26
1160	7	105
1160	8	242
1160	9	218
1160	10	112
1161	9	44
1162	1	136
1162	2	116
1162	3	228
1162	4	266
1162	5	470
1162	6	301
1162	7	281
1162	8	359
1162	9	482
1162	10	180
1163	1	204
1163	2	36
1163	3	392
1163	4	380
1163	5	404
1163	6	292
1163	7	246
1163	8	207
1163	9	770
1163	10	309
1164	1	286
1164	2	203
1164	3	233
1164	4	466
1164	5	480
1164	6	194
1164	7	164
1164	8	387
1164	9	562
1164	10	131
1165	1	175
1165	2	159
1165	3	235
1165	4	174
1165	5	188
1165	6	105
1165	7	412
1165	8	380
1165	9	307
1165	10	165
1166	1	435
1166	2	145
1166	3	342
1166	4	323
1166	5	588
1166	6	290
1166	7	505
1166	8	387
1166	9	455
1166	10	270
1167	1	136
1167	3	178
1167	4	95
1167	5	184
1167	6	32
1167	7	70
1167	8	69
1167	9	151
1167	10	28
1168	1	435
1168	2	116
1168	3	314
1168	4	608
1168	5	529
1168	6	316
1168	7	421
1168	8	442
1168	9	402
1168	10	337
1169	1	714
1169	2	289
1169	3	392
1169	4	404
1169	5	624
1169	6	337
1169	7	421
1169	8	588
1169	9	552
1169	10	253
1170	1	95
1170	2	236
1170	3	200
1170	4	488
1170	5	274
1170	6	230
1170	7	262
1170	8	387
1170	9	516
1170	10	288
1171	1	200
1171	2	186
1171	3	78
1171	4	192
1171	5	188
1171	6	138
1171	7	180
1171	8	355
1171	9	209
1171	10	247
1172	1	272
1172	2	174
1172	3	314
1172	4	399
1172	5	235
1172	6	264
1172	7	309
1172	8	387
1172	9	388
1172	10	382
1173	1	204
1173	2	109
1173	3	143
1173	4	143
1173	5	257
1173	6	13
1173	7	105
1173	8	35
1173	9	167
1174	1	272
1174	2	203
1174	3	228
1174	4	342
1174	5	676
1174	6	249
1174	7	281
1174	8	581
1174	9	321
1174	10	247
1175	1	306
1175	2	326
1175	3	392
1175	4	665
1175	5	661
1175	6	447
1175	7	597
1175	8	622
1175	9	419
1175	10	365
1176	1	191
1176	2	304
1176	3	299
1176	4	266
1176	5	480
1176	6	339
1176	7	295
1176	8	516
1176	9	578
1176	10	262
1177	1	299
1177	2	159
1177	3	287
1177	4	348
1177	5	512
1177	6	290
1177	7	206
1177	8	406
1177	9	442
1177	10	206
1178	1	272
1178	2	232
1178	3	314
1178	4	152
1178	5	235
1178	6	280
1178	7	337
1178	8	415
1178	9	429
1178	10	292
1179	1	136
1179	3	178
1179	4	119
1179	5	184
1179	6	45
1179	7	140
1179	8	242
1179	9	67
1179	10	84
1180	1	327
1180	2	174
1180	3	200
1180	4	608
1180	5	646
1180	6	218
1180	7	365
1180	8	525
1180	9	576
1180	10	427
1181	1	306
1181	2	434
1181	3	214
1181	4	380
1181	5	367
1181	6	408
1181	7	316
1181	8	484
1181	9	603
1181	10	505
1182	1	159
1182	2	101
1182	3	133
1182	4	333
1182	5	343
1182	6	284
1182	7	360
1182	8	419
1182	9	547
1182	10	262
1183	1	175
1183	2	186
1183	3	157
1183	4	366
1183	5	404
1183	6	204
1183	7	360
1183	8	380
1183	9	344
1183	10	185
1184	1	299
1184	2	232
1184	3	257
1184	4	494
1184	5	558
1184	6	202
1184	7	365
1184	8	608
1184	9	603
1184	10	314
1185	2	109
1185	3	214
1185	4	95
1185	5	257
1185	6	65
1185	7	35
1185	8	138
1185	9	84
1185	10	56
1186	1	354
1186	2	116
1186	3	314
1186	4	608
1186	5	470
1186	6	415
1186	7	309
1186	8	470
1186	9	536
1186	10	427
1187	1	442
1187	2	470
1187	3	249
1187	4	261
1187	5	588
1187	6	305
1187	7	281
1187	8	795
1187	9	686
1187	10	140
1188	1	603
1188	2	236
1188	3	266
1188	4	266
1188	5	206
1188	6	308
1188	7	262
1188	8	258
1188	9	359
1188	10	341
1189	1	324
1189	2	265
1189	3	157
1189	4	209
1189	5	431
1189	6	209
1189	7	283
1189	8	228
1189	9	430
1189	10	350
1190	1	299
1190	2	260
1190	3	200
1190	4	361
1190	5	529
1190	6	270
1190	7	253
1190	8	332
1190	9	509
1190	10	337
1191	1	34
1191	3	107
1191	4	71
1191	5	257
1191	6	91
1191	7	105
1191	8	69
1191	9	67
1191	10	28
1192	1	381
1192	2	203
1192	3	342
1192	4	551
1192	5	646
1192	6	482
1192	7	646
1192	8	608
1192	9	308
1192	10	562
1193	1	238
1193	2	507
1193	3	249
1193	4	190
1193	5	477
1193	6	356
1193	7	105
1193	8	346
1193	9	385
1193	10	309
1194	1	318
1194	2	203
1194	3	166
1194	4	333
1194	5	583
1194	6	393
1194	7	262
1194	8	419
1194	9	391
1194	10	341
1195	1	225
1195	2	371
1195	3	183
1195	4	314
1195	5	215
1195	6	261
1195	7	360
1195	8	279
1195	9	331
1195	10	227
1196	1	218
1196	2	289
1196	3	228
1196	4	399
1196	5	529
1196	6	415
1196	7	562
1196	8	415
1196	9	402
1196	10	359
1197	1	136
1197	2	36
1197	3	285
1197	4	24
1197	5	184
1197	6	97
1197	7	105
1197	8	173
1197	9	50
1197	10	56
1198	1	463
1198	2	405
1198	3	599
1198	4	532
1198	5	499
1198	6	384
1198	7	393
1198	8	608
1198	9	723
1198	10	449
1199	1	306
1199	2	362
1199	3	178
1199	4	475
1199	5	551
1199	6	292
1199	7	351
1199	8	104
1199	9	402
1199	10	197
1200	1	95
1200	2	169
1200	3	200
1200	4	266
1200	5	240
1200	6	103
1200	7	164
1200	8	226
1200	9	219
1200	10	183
1201	1	424
1201	2	292
1201	3	523
1201	4	470
1201	5	619
1201	6	428
1201	7	360
1201	8	583
1201	9	552
1201	10	391
1202	1	354
1202	2	58
1202	3	228
1202	4	190
1202	5	323
