date	day_of_week	brand	cnt
1	2	1	31
1	2	6	6
1	2	9	15
2	3	4	20
2	3	6	6
2	3	7	30
2	3	10	48
3	4	4	16
3	4	6	4
3	4	8	23
4	5	1	898
4	5	2	796
4	5	3	418
4	5	4	1411
4	5	6	299
4	5	7	257
4	5	8	76
4	5	9	1314
4	5	10	1565
5	6	1	842
5	6	2	763
5	6	3	229
5	6	4	1176
5	6	6	244
5	6	7	354
5	6	8	63
5	6	9	829
5	6	10	1107
6	7	1	649
6	7	2	259
6	7	3	198
6	7	4	812
6	7	6	134
6	7	7	167
6	7	8	55
6	7	9	412
6	7	10	647
7	1	1	574
7	1	2	371
7	1	3	340
7	1	4	889
7	1	6	157
7	1	7	232
7	1	8	127
7	1	9	381
7	1	10	638
8	2	1	842
8	2	2	597
8	2	3	294
8	2	4	893
8	2	6	202
8	2	7	386
8	2	8	190
8	2	9	399
8	2	10	695
9	3	1	640
9	3	2	557
9	3	3	488
9	3	4	569
9	3	6	161
9	3	7	270
9	3	8	59
9	3	9	544
9	3	10	673
10	4	1	389
10	4	2	389
10	4	3	335
10	4	4	623
10	4	6	139
10	4	7	165
10	4	8	70
10	4	9	439
10	4	10	585
11	5	1	274
11	5	2	504
11	5	3	235
11	5	4	470
11	5	6	143
11	5	7	154
11	5	8	76
11	5	9	344
11	5	10	741
12	6	1	94
12	6	4	87
12	6	6	12
12	6	7	64
12	6	8	32
12	6	9	31
12	6	10	129
13	7	1	27
13	7	3	28
13	7	9	13
14	1	1	449
14	1	2	212
14	1	3	366
14	1	4	575
14	1	6	185
14	1	7	257
14	1	8	51
14	1	9	430
14	1	10	721
15	2	1	811
15	2	2	597
15	2	3	294
15	2	4	544
15	2	6	154
15	2	7	161
15	2	8	32
15	2	9	445
15	2	10	669
16	3	1	611
16	3	2	371
16	3	3	305
16	3	4	305
16	3	6	194
16	3	7	240
16	3	9	401
16	3	10	456
17	4	1	663
17	4	2	1094
17	4	3	575
17	4	4	735
17	4	6	588
17	4	7	802
17	4	8	116
17	4	9	1002
17	4	10	1680
18	5	1	424
18	5	2	371
18	5	3	366
18	5	4	627
18	5	6	204
