date,brand,date_type,day_of_week,date_map,day_of_year,week_of_year
1107,7,2,4,2016-05-05,126,19
1107,8,2,4,2016-05-05,126,19
1107,9,2,4,2016-05-05,126,19
1107,10,2,4,2016-05-05,126,19
1108,1,2,5,2016-05-06,127,19
1108,2,2,5,2016-05-06,127,19
1108,3,2,5,2016-05-06,127,19
1108,4,2,5,2016-05-06,127,19
1108,5,2,5,2016-05-06,127,19
1108,6,2,5,2016-05-06,127,19
1108,7,2,5,2016-05-06,127,19
1108,8,2,5,2016-05-06,127,19
1108,9,2,5,2016-05-06,127,19
1108,10,2,5,2016-05-06,127,19
1109,1,3,6,2016-05-07,128,19
1109,2,3,6,2016-05-07,128,19
1109,3,3,6,2016-05-07,128,19
1109,4,3,6,2016-05-07,128,19
1109,5,3,6,2016-05-07,128,19
1109,6,3,6,2016-05-07,128,19
1109,7,3,6,2016-05-07,128,19
1109,8,3,6,2016-05-07,128,19
1109,9,3,6,2016-05-07,128,19
1109,10,3,6,2016-05-07,128,19
1110,9,3,7,2016-05-08,129,19
1111,1,2,1,2016-05-09,130,20
1111,2,2,1,2016-05-09,130,20
1111,3,2,1,2016-05-09,130,20
1111,4,2,1,2016-05-09,130,20
1111,5,2,1,2016-05-09,130,20
1111,6,2,1,2016-05-09,130,20
1111,7,2,1,2016-05-09,130,20
1111,8,2,1,2016-05-09,130,20
1111,9,2,1,2016-05-09,130,20
1111,10,2,1,2016-05-09,130,20
1112,1,2,2,2016-05-10,131,20
1112,2,2,2,2016-05-10,131,20
1112,3,2,2,2016-05-10,131,20
1112,4,2,2,2016-05-10,131,20
1112,5,2,2,2016-05-10,131,20
1112,6,2,2,2016-05-10,131,20
1112,7,2,2,2016-05-10,131,20
1112,8,2,2,2016-05-10,131,20
1112,9,2,2,2016-05-10,131,20
1112,10,2,2,2016-05-10,131,20
1113,1,2,3,2016-05-11,132,20
1113,2,2,3,2016-05-11,132,20
1113,3,2,3,2016-05-11,132,20
1113,4,2,3,2016-05-11,132,20
1113,5,2,3,2016-05-11,132,20
1113,6,2,3,2016-05-11,132,20
1113,7,2,3,2016-05-11,132,20
1113,8,2,3,2016-05-11,132,20
1113,9,2,3,2016-05-11,132,20
1113,10,2,3,2016-05-11,132,20
1114,1,2,4,2016-05-12,133,20
1114,2,2,4,2016-05-12,133,20
1114,3,2,4,2016-05-12,133,20
1114,4,2,4,2016-05-12,133,20
1114,5,2,4,2016-05-12,133,20
1114,6,2,4,2016-05-12,133,20
1114,7,2,4,2016-05-12,133,20
1114,8,2,4,2016-05-12,133,20
1114,9,2,4,2016-05-12,133,20
1114,10,2,4,2016-05-12,133,20
1115,1,2,5,2016-05-13,134,20
1115,2,2,5,2016-05-13,134,20
1115,3,2,5,2016-05-13,134,20
1115,4,2,5,2016-05-13,134,20
1115,5,2,5,2016-05-13,134,20
1115,6,2,5,2016-05-13,134,20
1115,7,2,5,2016-05-13,134,20
1115,8,2,5,2016-05-13,134,20
1115,9,2,5,2016-05-13,134,20
1115,10,2,5,2016-05-13,134,20
1116,1,3,6,2016-05-14,135,20
1116,2,3,6,2016-05-14,135,20
1116,3,3,6,2016-05-14,135,20
1116,4,3,6,2016-05-14,135,20
1116,5,3,6,2016-05-14,135,20
1116,6,3,6,2016-05-14,135,20
1116,7,3,6,2016-05-14,135,20
1116,8,3,6,2016-05-14,135,20
1116,9,3,6,2016-05-14,135,20
1116,10,3,6,2016-05-14,135,20
1117,1,2,1,2016-05-16,137,21
1117,2,2,1,2016-05-16,137,21
1117,3,2,1,2016-05-16,137,21
1117,4,2,1,2016-05-16,137,21
1117,5,2,1,2016-05-16,137,21
1117,6,2,1,2016-05-16,137,21
1117,7,2,1,2016-05-16,137,21
1117,8,2,1,2016-05-16,137,21
1117,9,2,1,2016-05-16,137,21
1117,10,2,1,2016-05-16,137,21
1118,1,2,2,2016-05-17,138,21
1118,2,2,2,2016-05-17,138,21
1118,3,2,2,2016-05-17,138,21
1118,4,2,2,2016-05-17,138,21
1118,5,2,2,2016-05-17,138,21
1118,6,2,2,2016-05-17,138,21
1118,7,2,2,2016-05-17,138,21
1118,8,2,2,2016-05-17,138,21
1118,9,2,2,2016-05-17,138,21
1118,10,2,2,2016-05-17,138,21
1119,1,2,3,2016-05-18,139,21
1119,2,2,3,2016-05-18,139,21
1119,3,2,3,2016-05-18,139,21
1119,4,2,3,2016-05-18,139,21
1119,5,2,3,2016-05-18,139,21
1119,6,2,3,2016-05-18,139,21
1119,7,2,3,2016-05-18,139,21
