date,brand,date_type,day_of_week,date_map,day_of_year,week_of_year
1250,1,2,3,2016-10-12,286,42
1250,2,2,3,2016-10-12,286,42
1250,3,2,3,2016-10-12,286,42
1250,4,2,3,2016-10-12,286,42
1250,5,2,3,2016-10-12,286,42
1250,6,2,3,2016-10-12,286,42
1250,7,2,3,2016-10-12,286,42
1250,8,2,3,2016-10-12,286,42
1250,9,2,3,2016-10-12,286,42
1250,10,2,3,2016-10-12,286,42
1251,1,2,4,2016-10-13,287,42
1251,2,2,4,2016-10-13,287,42
1251,3,2,4,2016-10-13,287,42
1251,4,2,4,2016-10-13,287,42
1251,5,2,4,2016-10-13,287,42
1251,6,2,4,2016-10-13,287,42
1251,7,2,4,2016-10-13,287,42
1251,8,2,4,2016-10-13,287,42
1251,9,2,4,2016-10-13,287,42
1251,10,2,4,2016-10-13,287,42
1252,1,2,5,2016-10-14,288,42
1252,2,2,5,2016-10-14,288,42
1252,3,2,5,2016-10-14,288,42
1252,4,2,5,2016-10-14,288,42
1252,5,2,5,2016-10-14,288,42
1252,6,2,5,2016-10-14,288,42
1252,7,2,5,2016-10-14,288,42
1252,8,2,5,2016-10-14,288,42
1252,9,2,5,2016-10-14,288,42
1252,10,2,5,2016-10-14,288,42
1253,1,3,6,2016-10-15,289,42
1253,2,3,6,2016-10-15,289,42
1253,3,3,6,2016-10-15,289,42
1253,4,3,6,2016-10-15,289,42
1253,5,3,6,2016-10-15,289,42
1253,6,3,6,2016-10-15,289,42
1253,7,3,6,2016-10-15,289,42
1253,8,3,6,2016-10-15,289,42
1253,9,3,6,2016-10-15,289,42
1253,10,3,6,2016-10-15,289,42
1254,4,3,7,2016-10-16,290,42
1255,1,2,1,2016-10-17,291,43
1255,2,2,1,2016-10-17,291,43
1255,3,2,1,2016-10-17,291,43
1255,4,2,1,2016-10-17,291,43
1255,5,2,1,2016-10-17,291,43
1255,6,2,1,2016-10-17,291,43
1255,7,2,1,2016-10-17,291,43
1255,8,2,1,2016-10-17,291,43
1255,9,2,1,2016-10-17,291,43
1255,10,2,1,2016-10-17,291,43
1256,1,2,2,2016-10-18,292,43
1256,2,2,2,2016-10-18,292,43
1256,3,2,2,2016-10-18,292,43
1256,4,2,2,2016-10-18,292,43
1256,5,2,2,2016-10-18,292,43
1256,6,2,2,2016-10-18,292,43
1256,7,2,2,2016-10-18,292,43
1256,8,2,2,2016-10-18,292,43
1256,9,2,2,2016-10-18,292,43
1256,10,2,2,2016-10-18,292,43
1257,1,2,3,2016-10-19,293,43
1257,2,2,3,2016-10-19,293,43
1257,3,2,3,2016-10-19,293,43
1257,4,2,3,2016-10-19,293,43
1257,5,2,3,2016-10-19,293,43
1257,6,2,3,2016-10-19,293,43
1257,7,2,3,2016-10-19,293,43
1257,8,2,3,2016-10-19,293,43
1257,9,2,3,2016-10-19,293,43
1257,10,2,3,2016-10-19,293,43
1258,1,2,4,2016-10-20,294,43
1258,2,2,4,2016-10-20,294,43
1258,3,2,4,2016-10-20,294,43
1258,4,2,4,2016-10-20,294,43
1258,5,2,4,2016-10-20,294,43
1258,6,2,4,2016-10-20,294,43
1258,7,2,4,2016-10-20,294,43
1258,8,2,4,2016-10-20,294,43
1258,9,2,4,2016-10-20,294,43
1258,10,2,4,2016-10-20,294,43
1259,1,2,5,2016-10-21,295,43
1259,2,2,5,2016-10-21,295,43
1259,3,2,5,2016-10-21,295,43
1259,4,2,5,2016-10-21,295,43
1259,5,2,5,2016-10-21,295,43
1259,6,2,5,2016-10-21,295,43
1259,7,2,5,2016-10-21,295,43
1259,8,2,5,2016-10-21,295,43
1259,9,2,5,2016-10-21,295,43
1259,10,2,5,2016-10-21,295,43
1260,1,3,6,2016-10-22,296,43
1260,2,3,6,2016-10-22,296,43
1260,3,3,6,2016-10-22,296,43
1260,4,3,6,2016-10-22,296,43
