date,brand,date_type,day_of_week,cnt,date_map,day_of_year,week_of_year
1,1,1,2,31,2013-01-01,1,1
1,6,1,2,6,2013-01-01,1,1
1,9,1,2,15,2013-01-01,1,1
2,4,1,3,20,2013-01-02,2,1
2,6,1,3,6,2013-01-02,2,1
2,7,1,3,30,2013-01-02,2,1
2,10,1,3,48,2013-01-02,2,1
3,4,1,4,16,2013-01-03,3,1
3,6,1,4,4,2013-01-03,3,1
3,8,1,4,23,2013-01-03,3,1
4,1,4,5,898,2013-01-04,4,1
4,2,4,5,796,2013-01-04,4,1
4,3,4,5,418,2013-01-04,4,1
4,4,4,5,1411,2013-01-04,4,1
4,6,4,5,299,2013-01-04,4,1
4,7,4,5,257,2013-01-04,4,1
4,8,4,5,76,2013-01-04,4,1
4,9,4,5,1314,2013-01-04,4,1
4,10,4,5,1565,2013-01-04,4,1
5,1,0,6,842,2013-01-05,5,1
5,2,0,6,763,2013-01-05,5,1
5,3,0,6,229,2013-01-05,5,1
5,4,0,6,1176,2013-01-05,5,1
5,6,0,6,244,2013-01-05,5,1
5,7,0,6,354,2013-01-05,5,1
5,8,0,6,63,2013-01-05,5,1
5,9,0,6,829,2013-01-05,5,1
5,10,0,6,1107,2013-01-05,5,1
6,1,0,7,649,2013-01-06,6,1
6,2,0,7,259,2013-01-06,6,1
6,3,0,7,198,2013-01-06,6,1
6,4,0,7,812,2013-01-06,6,1
6,6,0,7,134,2013-01-06,6,1
6,7,0,7,167,2013-01-06,6,1
6,8,0,7,55,2013-01-06,6,1
6,9,0,7,412,2013-01-06,6,1
6,10,0,7,647,2013-01-06,6,1
7,1,2,1,574,2013-01-07,7,2
7,2,2,1,371,2013-01-07,7,2
7,3,2,1,340,2013-01-07,7,2
7,4,2,1,889,2013-01-07,7,2
7,6,2,1,157,2013-01-07,7,2
7,7,2,1,232,2013-01-07,7,2
7,8,2,1,127,2013-01-07,7,2
7,9,2,1,381,2013-01-07,7,2
7,10,2,1,638,2013-01-07,7,2
8,1,2,2,842,2013-01-08,8,2
8,2,2,2,597,2013-01-08,8,2
8,3,2,2,294,2013-01-08,8,2
8,4,2,2,893,2013-01-08,8,2
8,6,2,2,202,2013-01-08,8,2
8,7,2,2,386,2013-01-08,8,2
8,8,2,2,190,2013-01-08,8,2
8,9,2,2,399,2013-01-08,8,2
8,10,2,2,695,2013-01-08,8,2
9,1,2,3,640,2013-01-09,9,2
9,2,2,3,557,2013-01-09,9,2
9,3,2,3,488,2013-01-09,9,2
9,4,2,3,569,2013-01-09,9,2
9,6,2,3,161,2013-01-09,9,2
9,7,2,3,270,2013-01-09,9,2
9,8,2,3,59,2013-01-09,9,2
9,9,2,3,544,2013-01-09,9,2
9,10,2,3,673,2013-01-09,9,2
10,1,2,4,389,2013-01-10,10,2
10,2,2,4,389,2013-01-10,10,2
10,3,2,4,335,2013-01-10,10,2
10,4,2,4,623,2013-01-10,10,2
10,6,2,4,139,2013-01-10,10,2
10,7,2,4,165,2013-01-10,10,2
10,8,2,4,70,2013-01-10,10,2
10,9,2,4,439,2013-01-10,10,2
10,10,2,4,585,2013-01-10,10,2
11,1,2,5,274,2013-01-11,11,2
11,2,2,5,504,2013-01-11,11,2
11,3,2,5,235,2013-01-11,11,2
11,4,2,5,470,2013-01-11,11,2
11,6,2,5,143,2013-01-11,11,2
11,7,2,5,154,2013-01-11,11,2
11,8,2,5,76,2013-01-11,11,2
11,9,2,5,344,2013-01-11,11,2
11,10,2,5,741,2013-01-11,11,2
12,1,3,6,94,2013-01-12,12,2
12,4,3,6,87,2013-01-12,12,2
12,6,3,6,12,2013-01-12,12,2
12,7,3,6,64,2013-01-12,12,2
12,8,3,6,32,2013-01-12,12,2
12,9,3,6,31,2013-01-12,12,2
12,10,3,6,129,2013-01-12,12,2
13,1,3,7,27,2013-01-13,13,2
13,3,3,7,28,2013-01-13,13,2
13,9,3,7,13,2013-01-13,13,2
14,1,2,1,449,2013-01-14,14,3
14,2,2,1,212,2013-01-14,14,3
14,3,2,1,366,2013-01-14,14,3
14,4,2,1,575,2013-01-14,14,3
14,6,2,1,185,2013-01-14,14,3
14,7,2,1,257,2013-01-14,14,3
14,8,2,1,51,2013-01-14,14,3
14,9,2,1,430,2013-01-14,14,3
14,10,2,1,721,2013-01-14,14,3
15,1,2,2,811,2013-01-15,15,3
15,2,2,2,597,2013-01-15,15,3
15,3,2,2,294,2013-01-15,15,3
15,4,2,2,544,2013-01-15,15,3
15,6,2,2,154,2013-01-15,15,3
15,7,2,2,161,2013-01-15,15,3
15,8,2,2,32,2013-01-15,15,3
